I'm too short.	Я слишком низкий.
I'd like to reserve a single room.	Я бы хотел забронировать номер на одного человека.
I don't think that I can answer that.	Не думаю, что могу на это ответить.
Tom wanted to hug Mary, but he knew that he shouldn't.	Том хотел обнять Мэри, но знал, что ему не стоит этого делать.
How old is he?	Сколько ему?
I'm at your mercy.	Я в твоей власти.
People are talking.	Люди говорят.
Tom got bored quickly.	Тому быстро стало скучно.
They lit the candles.	Они зажгли свечи.
I don't enjoy teaching French.	Мне не нравится преподавать французский.
Tom says that Mary is innocent.	Том говорит, что Мэри невиновна.
Our shop will be closed on Monday.	В понедельник наш магазин будет закрыт.
I can't understand this sign's meaning.	Я не понимаю, что означает этот знак.
What was Tom talking about?	О чём говорил Том?
He was killed in a car accident.	Он погиб в автомобильной катастрофе.
You can't park here.	Здесь нельзя парковаться.
I promised not to say anything.	Я пообещал ничего не говорить.
I boarded the ship.	Я сел на корабль.
Tom finally understood it.	Том наконец это понял.
I would never lie to you.	Я бы никогда тебе не соврал.
In the absence of sufficient proof, the police could not indict him.	В отсутствие достаточных доказательств полиция не смогла предъявить ему обвинения.
I make a lot of mistakes.	Я делаю много ошибок.
She had a radio.	У неё был радиоприёмник.
What's your favorite hair color?	Какой у вас любимый цвет волос?
I'm quite poor.	Я довольно беден.
The bakery is around the corner.	Пекарня за углом.
Tom isn't busy now.	Том сейчас не занят.
I still don't remember why.	Я все равно не помню почему.
You're in love with Tom, aren't you?	Ты влюблена в Тома, да?
Where did you hide the box?	Где вы спрятали коробку?
If your feet get wet, you'll catch a cold.	Если ваши ноги промокнут, вы простудитесь.
I'll keep that in mind.	Я запомню это.
Cottage cheese is my favorite food.	Творог — моя любимая еда.
I don't go to school by bus.	Я не езжу в школу на автобусе.
He feels a lot better today.	Сегодня ему намного лучше.
We'll capture them.	Мы их поймаем.
Did you buy much?	Ты много всего купил?
Tom gestured Mary to go ahead.	Том жестом показал Мэри идти вперед.
I really don't have much time.	У меня действительно не слишком много времени.
Keep up the good work.	Продолжайте в том же духе.
I think you've got problems.	Думаю, у вас проблемы.
I dropped everything and ran.	Я всё бросил и побежал.
I'm not sure that's possible.	Я не уверена, что это возможно.
What am I supposed to say?	Что вы от меня хотите услышать?
Will you explain the rule to me?	Ты объяснишь мне это правило?
You seem busy.	Ты, кажется, занят.
I got a lot to say.	Мне надо многое сказать.
You're depressed.	Ты подавлен.
She talked him into quitting his job.	Она уговорила его бросить свою работу.
I've already said more than I should've.	Я уже сказал больше, чем следовало.
Tom handed me a broom and told me to start sweeping.	Том вручил мне метлу и сказал начать мести.
Tom isn't married to Mary.	Том не женат на Мэри.
You missed the point entirely.	Ты вообще ничего не понял.
I never thought I'd say this.	Никогда не думал, что я это скажу.
I thought you'd be comfortable here.	Я подумал, что вам здесь будет удобно.
You're going to be famous someday.	Когда-нибудь ты станешь знаменитым.
It's an ambitious plan.	Это амбициозный план.
I'm very strong.	Я очень сильный.
Are you really that stupid?	Вы действительно такой тупой?
Who told you my name was Tom?	Кто вам сказал, что меня зовут Том?
Has anyone talked to Tom about this?	Кто-нибудь говорил об этом с Томом?
Do I need to be here tomorrow?	Мне завтра нужно быть здесь?
Put it down.	Положите её.
The Soviet Union launched Sputnik I in 1957.	Советский Союз запустил Спутник-1 в 1957 году.
You're scaring Tom.	Вы пугаете Тома.
I haven't seen a doctor.	Я не была у врача.
I get the feeling that no one here is telling us the truth.	У меня такое чувство, что никто здесь не говорит нам правду.
Tom isn't the only one who trusted Mary.	Том не единственный, кто доверял Мэри.
Horses are dangerous animals.	Лошади — опасные животные.
Tom boarded the ship.	Том сел на корабль.
